Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
VITA,110287,COLAGOGO Y COLERETICO,"ALCACHOFA; BILIS DE BUEY, EXTRACTO DE; BOLDO",ALCABOL CAJA X 25 SOBRE,110287
HAHNEMANN,11816,ANTIHIPERURICÉMICO Y ANTIGOTOSO,ALOPURINOL,ALOPURINOL 300 MG CAJA X 250 COMPRIMIDOS,11816
ABD,11845162618,SUPLEMENTO VITAMINICO,VITAMINA K2 100 MG + D3 PLUS FRASCO X 100 TABLETAS,VITAMINA K2 100 MG + D3 PLUS FRASCO X 100 TABLETAS,11845162618
IFARBO,123456,ANTISÉPTICO Y DESINFECTANTE DE USO TÓPICO,"HIDROGENO, PERÓXIDO",AGUA OXIGENADA X 125 ML,123456
INTI,12345641,AGONISTA ADRENERGICO DE ACCION DIRECTA,EPINEFRINA 1 mg/mL,ADRENALINA 1 MG AMPOLLA X 1 ML,12345641
IFARBO,14500,ANALGÉSICO Y ANTIPIRÉTICO,PARACETAMOL ACETAMINOFÉN,ACETAMOL 100 MG GOTAS FCO X 15 ML.,14500
INQUIBOL,160623,ANTISÉPTICO Y DESINFECTANTE DE USO TÓPICO,PERÓXIDO DE HIDRÓGENO,AGUA OXIGENADA X 500 ML,160623
INQUIBOL,1610,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 1000 ML,1610
DELTA,16258,LAXANTE DE CONTACTO,GLICERINA,SUPOSITORIO LARGO GLICERINA INFANTIL CAJA X 50 UNI,16258
VITA,1698,RUBEFACIENTE ANALGESICO,SALICILATO DE METILO,FRICCION VITA FCO X 140 ML.,1698
VITA,1699,ANTIINFLAMATORIO ANALGESICO,SALICILATO DE METILO MENTOL ALCANFOR TREMENTINA MEDICINAL,FRIXZZZ EMULSION TUBO X 30 G,1699
IFARBO,17580,COSMÉTICO AROMATIZANTE,AGUA FLORIDA,AGUA FLORIDA FCO X 25 ML,17580
VITA,17792,REPOSICION Y APORTE CALORICO,DEXTROSA 50 GR,SUERO VITADEX B X 1000 ML,17792
CHILE GENERICO,17800007155719,TÓPICO INFECCIONES VIRALES.,ACICLOVIR,ACICLOVIR 5% TUBO X 10 G,17800007155719
FARMEDICAL,17870,ANALGESICO ANTIINFLAMATORIO,TRAMADOL PARACETAMOL,TAMBOL FORTE CAJA X 20 COMPRIMIDOS,17870
ITA,18075,"ANALGÉSICO, ANTIPIRÉTICO Y EXPECTORANTE","CLORFENAMINA, PARACETAMOL (ACETAMINOFÉN)",ACTIMOL DUO SOLUCION PEDIATRICA FCO X 60 ML,18075
SANAT,18904073006176,ANTIHIPERTENSIVO,LOSARTAN 50 MG,LOSARTAN 50 MG CAJA X 100 COMPRIMIDOS,18904073006176
SANAT,189040730061792,ANTIBIOTICO DE AMPLIO ESPECTRO,AMOXICILINA ACIDO CLAVULANICO,INFEXSAN CAJA X 10 COMPRIMIDOS,189040730061792
SANAT,18904073006695,ANALGESICO,KETOPROFENO 200 MG,KETOPROFENO 200 MG CAJA X 100 CAPSULAS,18904073006695
SANAT,18904115700147,ANTIVIRAL DE USO SISTÉMICO,ACICLOVIR,ACICLOVIR 800 MG CAJA X 100 COMPRIMIDOS,18904115700147
FARMA SHOPPING,18904180101269,ANTIINFLAMATORIO-INMUNOSUPRESOR,BETAMETASONA,BETAMETASONA VALERATO CREMA X 15 GR.,18904180101269
SANAT,18904306500075,ANTIINFLAMATORIO ANTIPIRETICO,IBUPROFENO 600 MG,IBUPROFENO 600 MG CAJA X 500 COMPRIMIDOS,18904306500075
SANAT,18904306500310,ANALGESICO RELAJANTE,DICLOFENACO COMPLEJO B,DICLOSAN B1 B2 B12 CAJA X 100 COMPRIMIDOS,18904306500310
LAQFAGAL,18904306500433,HIPOGLICEMIANTE,GLIBENCLAMIDA 5 MG,GLIBENCLAMIDA 5 MG CAJA X 100 COMPRIMIDOS,18904306500433
SANAT,18904306500440,ANTIHIPERTENSIVO,AMLODIPINO,AMLODIPINO 10 MG CAJA X 100 COMPRIMIDOS,18904306500440
SANAT,18904306500501,HIPOGLICEMIANTE,GLIBENCLAMIDA 5 MG,GLIBENCLAMIDA 5 MG CAJA X 50 COMPRIMIDOS,18904306500501
SANAT,18904306500655,ANTIBIOTICO,CEFIXIMA 400,CEFIXIMA 400 MG CAJA X 10 CAPSULAS,18904306500655
SANAT,18904306500754,DISFUNCION ERECTIL,TADALAFILO,TADAVIRIL 20 MG CAJA X 4 COMPRIMIDOS,18904306500754
SANAT,18904306500938,ANTIVIRAL DE USO SISTÉMICO,ACICLOVIR,ACICLOVIR 400 MG CAJA X 100 COMPRIMIDOS,18904306500938
SOLQUIFAR,190105002,UTILIZADO COMO LAXANTE,ACEITE DE RICINO,ACEITE DE RICINO FCO X 40 ML,190105002
ITA,19360,RUBEFACIENTE Y ANALGESICO,EXTRACTO DE BELLADONA,BELLADONA POMADA LATA X 15 G,19360
SOLQUIFAR,2010221,HIDRATANTE,ACEITE DE ALMENDRAS,ACEITE DE ALMENDRAS FCO X 40 ML.,2010221
SOLQUIFAR,2011625,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL ISOPROPILICO,ALCOHOL ISOPROPILICO X 250 ML,2011625
SOLQUIFAR,2011723,DESINFECCIÓN DE SUPERFICIES Y EQUIPOS,ALCOHOL ETILICO,ALCOHOL ETILICO 96% X 125 ML,2011723
SOLQUIFAR,2011726,DESINFECCIÓN DE SUPERFICIES Y EQUIPOS,ALCOHOL ETILICO,ALCOHOL ETILICO 96% X 500 ML,2011726
SOLQUIFAR,2011727,DESINFECCIÓN DE SUPERFICIES Y EQUIPOS,ALCOHOL ETILICO,ALCOHOL ETILICO 96 % 1 LITRO,2011727
SEDIM,20202,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL GEL,ALCOHOL GEL NEUTRO INLIBOL X 1 L,20202
VITA,208714,PAORTE CALORICO,DEXTROSA 50 GR,SUERO VITADEX B X 500 ML,208714
IFARBO,212,"ANALGÉSICO, ANTIPIRÉTICO Y ANTIINFLAMATORIO","IBUPROFENO, PARACETAMOL (ACETAMINOFÉN)",ACETAMOL PLUS CAJA X 150 COMPRIMIDOS,212
DELTA,23009161,ANTIHISTAMINICO,DIFENHIDRAMINA 2 %,DIFENHIDRAMINA 2 % POMADA DERMICA 15 GR,23009161
SIGMA,23015,ANTIACIDO – ANTIFLATULENTO,ACETAMINOFÉN,ACYDONE GEL SUSPENCION FCO X 100 ML,23015
AISAFARM,2421236,"TRATAMIENTO DE LA URTICARIA, DERMATITIS Y RINITIS",CETIRIZINA,AISALER CAJA X 100 COMPRIMIDOS,2421236
SOLQUIFAR,2472,REACTIVOS PUROS,AGUA DESIONIZADA,AGUA DESIONIZADA X 1000 ML,2472
TEXABOL,268,MULTIPLE USO,ALGODON PREMIER,ALGODON PREMIER X 50 G,268
DELTA,27004192,ANTIVIRAL ESPECIFICO,ACICLOVIR,ACICLOVIR 400 MG CAJA X 50 COMPRIMIDOS,27004192
VITA,2784,ANTIACIDO,HIDROXIDO DE ALUMINIO HIDROXIDO DE MAGNESIO,NEUTRAVIT 2000 CAJA X 24 SACHETS,2784
DELTA,28110141,ANTIBIOTICO,TETRACICLINA 500 MG CAJA X 100 CAPSULAS,TETRACICLINA 500 MG CAJA X 100 CAPSULAS,28110141
DELTA,28706161,ANTIMICOTICO,NISTATINA,NISTATINA 100.000 U.I CREMA TUBO X 10 gr,28706161
MEGALABS CSL BEHRING,300530000434,EXPANSOR PLASMATICO,ALBUMINA HUMANA,ALBURX 20% ALBUMINA X 1 VIAL,300530000434
INQUIBOL,308642013,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70 % X 500 ML,308642013
MEGAVIT MASSON,311845419316,VITAMINICO,ZINC 50 MG,ZINC 50 MG FCO X 100 TABLETAS,311845419316
MEGAVIT MASSON,311845440310,"ELEVA LAS DEFENSAS, AYUDA A LA ABSORCION DE VITAMINA K",VITAMINA E,VITAMINA E 450 UI FCO X 100 CSP.,311845440310
MEGAVIT MASSON,311845441751,DESINTOXICANTE,SILIMARINA CARDO MARIANO,MILK THISTLE SILIMARINA CARDO MARIANO FRASCO X 60 CAPSULAS,311845441751
MEGAVIT MASSON,311845442550,PROMUEVE LA SALUD DE LA PIEL,ALOE VERA,ALOE VERA Y VITAMINA E FCO X 60 CAPSULAS,311845442550
MEGAVIT MASSON,311845451415,SUPLEMENTO DE VITAMINAS DEL GRUPO B,VITAMINAS DEL GRUPO B,B COMPLEX FCO X 100 GEL CAPSULA,311845451415
MEGAVIT MASSON,311845485953,BIENESTAR NUTRICIONAL,EXTRACTO ESTANDARIZADO ASHWAGANDHA 500 MG,ASHWAGANDHA 500 MG FRSCO X 60 CAPSULAS,311845485953
FARMA SHOPING,343434349000,MUCOLITICO ESPECTORANTE,AMBROXOL CLORHIDRATO,BEM 30 MG JARABE FCO X 100 ML.,343434349000
INTI GALDERMA,3466320012838,HIDRATANTE CORPORAL,ACEITE DE ALMENDRAS,CETAPHIL CREMA HIDRATANTE POMO X 453 G,3466320012838
INTI GALDERMA,3499320000765,TX DE ACNE ESPINILLOS,PEROXILO DE BENZOILO,BENZAC AC 5% GEL TUBO X 60 G,3499320000765
INTI GALDERMA,3499320001212,ANTIACNE,ADAPALENO 0.1 %,DIFFERIN GEL 0.1% TUBO X 30 G,3499320001212
INTI GALDERMA,3499320004473,LOCION HIDRATANTE,FPS 30,CETAPHIL PRO AC DERMACONTROL LOCION HIDRATANTE FPS 30 X 118 ML,3499320004473
DR MEDINAT,3510268,ANTITUSIVO,MIEL PROPOLEO EUCALIPTO HEDERA HELIX,PASTILLAS MI ABEJITA ADULTOS,3510268
QUIMIZA,3582910009900,RESTAURADOR DE LA FLORA INTESTINAL,BACILLUS CLAUSII 2000 MILLONES,ENTEROGERMINA 5 ML CAJA X 10 AMPOLLA BEBIBLE,3582910009900
ACM,3760095250083,GEL DURADERO CORRECTOR DE TONO,Agentes colorantes y Agentes Pigmentantes (DHA y Eritrulosa),ACM VITICOLOR GEL CORRECTOR X 50 ML,3760095250083
ACM,3760095250342,PROTECTOR SOLAR,CREMA PROTECTORA,"ACM DEPIWHITE ""S"" SPF 50 X 50 ML",3760095250342
ACM,3760095250410,ANTICAÍDA,CHAMPÚ ENERGIZANTE,ACM SHAMPOO ENERGISANT (ANTICADA ) X 200 L,3760095250410
ACM,3760095250441,CREMA INTENSIVA ANTI-MANCHAS,CREMA DEPIWHITE ADVANCED,ACM CREMA DEPIWHITE ADVANCED X 40 ML,3760095250441
ACM,3760095251554,ANTIOXIDANTE,SÉRUM INTENSIVO ANTIOXIDANTE,ACM DUOLIYS SERUM ANTIOXIDANTE (VITAMINA C) X 15 ML,3760095251554
ITA,38060,ANTICEPTICO Y GERMICIDA,YODO,ALCODITO 1% FCO X 125 ML,38060
ITA,38698,TX DE SARNA Y PEDICULOSIS,BENZOATO DE BENCILO,BENZO ACTIVE LOCION X 60 ML,38698
INTI EUCERIN,4005800178573,HIDRATANTE CORPORAL,CREMA CON DEXPANTENOL,EUCERIN PH5 CREMA INTENSIVA CORPORAL X 450 ML,4005800178573
INTI EUCERIN,4005900140906,PROTECTOR SOLAR,ACIDO GLICIRETINICO,EUCERIN GEL CREME OIL CONTROL TOQUE SECO 50 FPS X 50 ML,4005900140906
NUTRAZUL,4022679142153,REFUERZA SISTEMA INMUNE,ACIDO ASCORBICO,VITAMINA C TUBO X 20 COMPRIMIDOS EFERVESCENTES,4022679142153
QUIMIZA,40226791423027,MULTIVITAMINAS,VITAMINA C ZINC,VITAMINA C + ZINC FRASCO X 20 COMPRIMIDOS EFERVESCENTES,40226791423027
NUTRAZUL,4022679147226,MULTIVITAMINCO,MAGNESIO ZINC,MAGNESIO + ZINC FRASCO X 20 COMPRIMIDOS EFERVESCENTES,4022679147226
QUIMIZA,4022679147233,SUPLEMENTO,CALCIO VITAMINA D,CALCIO VITAMINA D3 TUBO X 20 COMPRIMIDOS EFERVESCENTES,4022679147233
NUTRAZUL,4022679147899,VITAMINICO,VITAMINA MINERALES BIOTINAVITAMINAS,MULTIVITAMINAS + MINERALES + BIOTINA FRASCO X 20 COMPRIMIDOS EFERVESCENTES,4022679147899
QUIMIZA,4022679147967,VITAMINICO,COMPLEJO B,COMPLEJO B SABOR LIMON TUBO X 20 COMPRIMIDOS EFERVESCENTES,4022679147967
NUTRAZUL,4022679148735,MULTIVITAMINICO,VITAMINAS Y MINERALES,MULTIVITAMINAS + MINERALES KIDS X 20 COMPRIMIDOS EFERVESCENTES,4022679148735
NUTRAZUL,4022679148742,MULTIVITAMINICO,MULTIVITAMINAS,MULTIVITAMINAS + MINERALES + LUTEINA X 20 TABLETAS EFERVESCENTES,4022679148742
QUIMIZA,4022679148759,SUPLEMENTO,CALCIO MAGNESIO VITMAINA C,CALCIO MAGNESIO VITAMINA C TUBO X 20 COMPRIMIDOS EFERVESCENTES,4022679148759
NUTRAZUL,4022679148899,VITAMINICO,BIOTINA VITAMINAS EN GENERAL,MULTIVITAMINAS + MINERAL + BIOTINA KIDS X 20 COMPRIMIDOS EFERVESCENTES,4022679148899
MEGALABS,4104480467035,ANALGESICO BUCOFARINGEO,MUSGO DE ISLANDIA 80 MG,ISLA CASSIS CAJA X 50 PASTILLAS,4104480467035
MEGALABS,4104480705137,EXPECTORANTE BRONCODILATADOR ANTITUSIVO,EXTRACTO SECO DE HOJAS DE HEDERA HELIX 0.7 GR,ABRILAR JARABE FCO X 100 ML,4104480705137
MEGALABS,4104480718113,MUCOLITICO EXPECTORANTE ANTITUSIVO,EXTRACTO SECO DE HOJAS DE HIEDRA 0.7 GR,ABRILAR MENTOLADO JARABE FCO X 100 ML,4104480718113
INLIBOL,4277715,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL GEL,ALCOHOL GEL VARIOS INLIBOL X 370 ML,4277715
DELTA,42912193,ANTIEMETICO,METOCLOPRAMIDA 5 MG,METOCLOPRAMIDA 5 MG GOTAS X 30 ML,42912193
INTI ETICOS,46703,ANTIESPASMODICO,PROPINOX CLORHIDRATO 10 mg/mL,DEMOTIL CAJA X 3 AMPOLLAS,46703
MEGALABS,4718292001402,AINE DE USO TOPICO,LIDOCAINA 700 MG,ANALGOVAN PARCHE CAJA X 5,4718292001402
MINOIL,48327203537,FUENTE DE ÁCIDOS GRASOS INSATURADOS,ACEITE DE OLIVA,ACEITE DE OLIVA YBARRA EXTRA VIRGEN X 250 ML,48327203537
FOBOL,495752018,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 500 ML,495752018
ALFA,5,AGUA INYECTABLE DILUYENTE Y DISOLVENTE DE MEDICAMENTO,AGUA INYECTABLE,AGUA ESTERIL PARA INYECCION CAJA X,5
INTI,500108,INSUMO,INTROCAN W - C/ALT.22G1,BRANULA INTROCAN 22G1,500108
INTI,500109,INYECTABLE,Branula Introcan W 24G 3 4 C Aletas,BRANULA INTROCAN 24G 3/4,500109
MEGALABS,5027314498366,RESTAURADOR DE LA FLORA BACTERIANA,14 PROBIOTICOS,MULTIFLORA ADVANCE CAJA X 30 CAPSULAS,5027314498366
MEGALABS,5027314498533,RESTAURADOR DE LA FLORA BACTERIANA,7 PROBIOTICOS 1 PREBIOTICO,MULTIFLORA CAJA X 14 SOBRES,5027314498533
MEGALABS,5027314503275,RECONSTITUCION DE LA FLORA,7 PROBIOTICOS 1 PREBIOTICO,MULTIFLORA PLUS CAJA X 30 CAPSULAS,5027314503275
MEGALABS,5420024613737,ANTIEMETICO,EXTRACTO DE JENGIBRE 50 MG,ANTIMETIL 50 MG CAJA X 30 COMPRIMIDOS,5420024613737
MEGALABS,5420024614222,ESTIMULANTE DE DEFENSAS,ECHINACEA 180 MG,GRIPETIL 180 MG CAJA X 20 COMPRIMIDOS,5420024614222
INSUMOS,55500230,insumos,sonda,"SONDA FOLEY 2 VIAS NIPRO # 16 , 18 ,20",55500230
MEGALABS,5600360012887,ANTIBIOTICO BETALACTAMICO,AMOXICILINA 875 MG ACIDO CLAVULANICO 125 MG,AMOXIDAL PLUS CAJA X 20 COMPRIMIDOS RECUBIERTOS,5600360012887
MEGALABS,5600360012894,ANTIBIOTICO BETALACTAMICO,AMOXICILINA 400 MG ACIDO CLAVULANICO 57 MG,AMOXIDAL PLUS SUSPENCION FCO X 100 ML,5600360012894
QUIMIZA,5605709329015,ANTIHEMORROIDAL,DOBESILATO DE CALCIO 0.04 LIDOCAINA 0.02,DOXIPROCT POMADA TBO X 30 GR,5605709329015
QUIMIZA,5605709349013,ANTIHEMORROIDAL,DOBESILATO DE CALCIO 4 % LIDOCAINA 2 % DEXAMETASONA 0.025 %,DOXIPROCT PLUS CREMA TBO X 20 GR,5605709349013
DELTA,569550023,ANTIPIRETICO,PARACETAMOL 125 MG,PARACETAMOL 125 MG JARABE FCO X 100 ML.,569550023
INTI NUTRICIA,5900852021305,NUTRICION,FORMULA,BEBELAC GOLD # 3 LATA X 400 GR,5900852021305
INTI NUTRICIA,5900852034961,FORMULA PARA BEBE,LECHE EN POLVO CON PREBIOTICOS Y PROBIOTICOS,BEBELAC GOLD # 3 CAJA X 1.2 KG,5900852034961
INTI NUTRICIA,5900852940880,FORMULA NUTRITIVA,PREBIOTICOS Y PROBIOTICOS,BEBELAC GOLD # 1 LATA X 900 G,5900852940880
INTI NUTRICIA,5900852940897,FORMULA NUTRICIONAL,PREBIOTICOS Y PROBIOTICOS,BEBELAC GOLD # 2 LATA X 900 G,5900852940897
MEGALABS,5902020885818,SUPLEMENTO DIETARIO,VITAMINA D,ENSOLVIT VIT. D3 500 UI FCO X 20 ML,5902020885818
MEGALABS,5903473014022,INMUNOMODULADOR,PELAGONIUM RENIFORME CURT 20 MG,BRILOBA 20 MG JARABE FCO X 100 ML,5903473014022
E FARMA,5915910103220,"ANTIINFLAMATORIA, INMUNOSUPRESORA",BETAMETASONA,BETAMETASONA 4 MG/1 MLCAJA X AMPOLLA,5915910103220
MINERVA,614143778124,ALIVIO DE LA GARGANTA IRRITADA,MIEL,C TAMINA MIEL CAJA X 24 PASTILLAS,614143778124
INSUMOS,6225102085128,FRASCO,FRASCO,FRASCO PARA ORINA ESTERIL,6225102085128
INTI GENOMA LABB,650240007019,ANTIMICOTICO,KETOCONAZOL 1 %,MEDICASP 1% SHAMPOO FCO X 130 ML,650240007019
INTI GENOMA LAB,650240007828,LIMPIEZA,AZUFRE,ASEPXIA JABON AZUFRE X 100 GR,650240007828
QUIMIZA,650240010088,FIRMEZA Y TONICIDAD DE LA PIEL,EXTRACTO DE ALGA MARINA ROBLE DE MAR EXTRACTO DE ROMERO,SILUET 40 GEL TÉRMICO X 200 ML.,650240010088
QUIMIZA,650240027543,ANTIMICOTICO,CLOTRIMAZOL 200 MG,LOMECAN 2% CREMA VAGINAL TBO X 20 GR.,650240027543
QUIMIZA,650240051623,LIMPIEZA FACIAL,AGUA MICELAR,AGUA MICELAR TEATRICAL FRASCO X 600 ML,650240051623
QUIMIZA,650240051630,LIMPIEZA FACIAL,AGUA MICELAR,AGUA MICELAR TEATRICAL TE VERDE FRASCO X 600 ML,650240051630
LHUMAT,673859029616,VITAMINA,OMEGA 3,OMEGA 3 FCO EXTRALIFE X 100 CAPSULAS,673859029616
LHUMAT,673859034917,MULTIVITAMINICO,AMINOACIDOS VITAMINAS,HGH AMINOACIDOS Y VITAMINAS FCO X 120 CAPSULAS,673859034917
LHUMAT,673859090210,APOYA LA SALUD DE LA PIEL,ACEITE DE PRIMULA,ACEITE DE PRIMULA 1000MG FCO X 100 CAPSULAS,673859090210
LHUMAT,673859090234,PROMUEVE LA SALUD DE LA PIEL,ALOE VERA,ALOE VERA + VITAMINA E LOCION TOPICA X 90 CAPSULAS,673859090234
LHUMAT,673859090258,ESTIMULANTE,L ARGININA,L ARGININA 700 MG FCO X 60 CAPSULAS,673859090258
ALFA VITAMINS,676194170180,VITAMINAS,ÁCIDO FÓLICO,ACIDO FOLICO 800 MCG FCO X 100 TABLETAS,676194170180
ALFA VITAMINS,676194173174,APOYA LA SALUD CARDIOVASCULAR Y LA FUNCIÓN CEREBRAL,ÁCIDOS GRASOS OMEGA,"ALFA OMEGA 3,6,9 FCO X 100 CAPSULAS BLANDAS",676194173174
ALFA VITAMINS,676194176199,ESTIMULA EL CRECIMIENTO,HGH FRASCO X 60 CAPSULAS,HGH FRASCO X 60 CAPSULAS,676194176199
ALFA VITAMINS,676194500055,SUPLEMENTO,OMEGA 3,OMEGA 3 FISH OIL 1000 MG FCO X 100 CAPSULAS,676194500055
ALFA VITAMINS,676194500253,REGULA LAS SEÑALES NERVIOSAS,GLUCONATO DE POTASIO 595 MG FRASCO X 100 TABLETAS,GLUCONATO DE POTASIO 595 MG FRASCO X 100 TABLETAS,676194500253
ALFA VITAMINS,676194961627,SUPLEMENTO,VITAMINA D,VITAMIN D3 5000 IU FCO X 100 CAPSULAS,676194961627
ALFA VITAMINS,676194962327,AYUDA AL SISTEMA INMUNE,VITAMINA E 1000 IU FCO X 90 CAPSULAS,VITAMINA E 1000 IU FCO X 90 CAPSULAS,676194962327
ALFA VITAMINS,676194962334,VITAMINA A,VITAMINA A 10000,VITAMIN A 10000 UI CAPSULAS BLANDAS X UNIDAD,676194962334
ALFA VITAMINS,676194962440,APOYA LA SALUD DE LA PIEL,ACEITE DE PRIMULA,ACEITE DE PRIMULA 1000 MG FCO X 60 CAPSULAS BLANDAS,676194962440
ALFA VITAMINS,676194962464,VITAMINICO,VITAMINA C,VITAMIN C 1000 MG FCO X 100 CAPSULAS,676194962464
ALFA VITAMINS,676194963799,SUPLEMENTO,L ARGININA,L ARGININA 1000 MG FCO X 100 CAPSULAS,676194963799
ALFA VITAMINS,676194971800,VITAMINA B,BIOTIN 10.000 MCG FRASCO X 60 TABLETAS,BIOTIN 10.000 MCG FRASCO X 60 TABLETAS,676194971800
ALFA VITAMINS,676194989652,SUPLEMENTO,CITRATO DE MAGNESIO,MAGNESIUM CITRATE COMPLEX 1400 FRASCO X 60 CAPSULAS,676194989652
ALFA VITAMINS,676194991426,SUPLEMENTO,MAGNESIO,MAGNESIO GLYCINATE 2500 MG FCO X 90 CAPS,676194991426
ALFA VITAMINS,676194992263,MULTIVITAMINA SUPLEMENTO,GLUTATION RESVERATROL VITAMINA C AC HIALURONICO,REV AGE FRASCO X 60 CAPSULAS,676194992263
ALFA VITAMINS,676194995837,REDUCE LA FORMACION DE COAGULOS,NAD+ PLUS RESVERATROL FRASCO X 60 CAPSULAS,NAD+ PLUS RESVERATROL FRASCO X 60 CAPSULAS,676194995837
IFARBO,6890658,"ANALGÉSICO, ANTIPIRÉTICO Y ANTIINFLAMATORIO","IBUPROFENO, PARACETAMOL (ACETAMINOFÉN)",ACETAMOL PLUS FORTE SUSPENSION FCO X 100 ML.,6890658
DR MEDINAT,6901046403135,ANTIBIOTICO,CEFTRIAXONA,CEFTRIAXONA MP - 1 GR X 50 VIALES,6901046403135
BRIANA,6921042190013,TETINA PARA BIBERON,SILICONA,TETINA BOCA ANCHA ANTICOLICO BRIANA VERDE - 4,6921042190013
BRIANA,6921042190020,TETINA PARA BIBERON,SILICONA,TETINA BOCA ANCHA ANTICOLICO BRIANA VERDE BRIANA - 3,6921042190020
BRIANA,6921042190021,TETINA PARA MAMADERA,SILICONA,TETINA BOCA STANDAR ANTICOLICO BRIANA VERDE - 1,6921042190021
BRIANA,6921042190051,TETINA PARA BIBERON,SILICONA,TETINA BOCA ANCHA ANTICOLICO BRIANA ROSADO - 5,6921042190051
BRIANA,6921042190099,TETINA PARA BIBERON,SILICONA,TETINA BOCA STANDAR BRIANA AZUL - 9,6921042190099
BRIANA,6921042190105,TETINA PARA BIBERON,SILICONA,TETINA BOCA ANCHA ANTICOLICO BRIANA NARANJA - 10,6921042190105
BRIANA,6922447512103,TETINA PARA BIBERON,SILICONA,TETINA BOCA ANCHA ANTICOLICO BRIANA LILA - 8,6922447512103
BRIANA,6922977481009,TETINA PARA BIBERON,SILICONA,TETINA BOCA ANCHA ANTICOLICO BRIANA LILA - 13,6922977481009
BRIANA,6926678710215,CHUPON PARA JUGUERO,SILICONA,TETINA BOCA ANCHA JUGUERO BRIANA CELESTE - 12,6926678710215
DISMEDIN,6929020001061,PARA MAREO,ONDASETRON 8 MG,ONDASETRON 8 MG CAJA X 10 AMPOLLAS,6929020001061
CAZU S.R.L.,6932384019948,"LIMPIA, DESINFECTA",TOHALLITAS HUMEDAS DINO BEBE,TOALLITAS HUMEDAS DINO BEBE X 50 UNIDADES,6932384019948
DISMEDIN,6948056932019,ANTIBIOTICO,AZITROMICINA 500 MG CAJA X 100 CAPSULAS,AZITROMICINA 500 MG CAJA X 100 CAPSULAS,6948056932019
DISMEDIN,6948056942018,VITAMINA,ÁCIDO FÓLICO,ACIDO FOLICO 5 MG CAJA X 100 COMPRIMIDOS,6948056942018
FOBOL,7,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL 70% X 450 ML,7
SOLQUIFAR,7010826,ANTISEPTICO Y DESINFECTANTE,PERÓXIDO DE HIDRÓGENO,AGUA OXIGENADA 1O VOL SQF FCO X 500 ML,7010826
